#NOM?;NAME;ISIN CODE;;#NOM?;Q1 2010;Q2 2010;Q3 2010;Q4 2010;Q1 2011;Q2 2011;Q3 2011;Q4 2011;Q1 2012;Q2 2012;Q3 2012;Q4 2012;Q1 2013;Q2 2013;Q3 2013;Q4 2013;Q1 2014;Q2 2014;Q3 2014;Q4 2014;Q1 2015;Q2 2015;Q3 2015;Q4 2015;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021;Q1 2022;Q2 2022;Q3 2022;Q4 2022;Q1 2023;Q2 2023;Q3 2023;Q4 2023;Q1 2024;Q2 2024;Q3 2024;Q4 2024
891399;AMAZON.COM;US0231351067;;AMAZON.COM - EPS-INT SURP VALUE;0,023;0,043;0,033;0,023;0,025;0,045;0,022;0,021;0,007;0,019;0,014;0,008;-0,012;0,01;0,009;-0,001;-0,005;0,025;0,012;-0,014;-0,047;0,023;-0,006;0,01;0,008;0,05;0,054;0,089;0,026;0,077;0,074;0,02;0,026;0,108;0,164;0,253;0,288;0,302;0,354;0,261;0,211;0,323;0,251;0,515;0,618;0,705;0,789;0,756;0,306;0,29;0,369;0,18;0,17;0,25;0,31;0,65;0,94;1;0,98;1,26
916328;ABBOTT LABORATORIES;US0028241000;;AMAZON.COM - LTG MEAN ESTIMATE;27,09;27,54;26,16;26,01;27,53;25,73;29,02;27,48;22,34;27,8;32,65;34,51;32,54;40,25;37,15;37,43;37,77;52,89;43,24;44,7;47,6;25;35,5;35,5;60,4;40,88;48,44;50,63;37,85;41,95;29,86;41,41;16,86;24,01;27,14;50,17;48,38;71,92;94;83;28;30,07;30,7;36,03;36,35;37,2;37,93;35,77;36;34,8;40,5;33,25;26;NA;NA;NA;NA;NA;30,5;31,75
545101;AES;US00130H1059;;AMAZON.COM - EPS-INT SURP PDIFF;34,569;17,957;9,055;-16,45;7,278;3,034;-27,321;17,277;-42,67;127,001;293,259;555,738;-191,139;-24,623;130,769;-137,313;-2,273;-22,937;0,877;-85,44;-29,252;168,176;1,961;237,283;225,369;-36,362;81,417;60,65;-33,248;14,345;36,456;-71,811;1656,757;17,328;159,647;99,842;82,981;6,338;50,11;-6,274;-8,43;60,618;-19,83;605,286;66,95;94,845;65,482;22,911;-31,386;62,483;-11,697;24,896;-21,077;42,564;46,365;85,73;60,854;24,553;17,912;22,585
906187;INTERNATIONAL BUS.MCHS.;US4592001014;;AMAZON.COM - NET SALES OR REVENUES;34204000;34204000;34204000;34204000;48077000;48077000;48077000;48077000;61093000;61093000;61093000;61093000;74452000;74452000;74452000;74452000;88988000;88988000;88988000;88988000;107006000;107006000;107006000;107006000;135987000;135987000;135987000;135987000;177866000;177866000;177866000;177866000;232887000;232887000;232887000;232887000;280522000;280522000;280522000;280522000;386064000;386064000;386064000;386064000;469822000;469822000;469822000;469822000;513983000;513983000;513983000;513983000;574785000;574785000;574785000;574785000;637959000;637959000;637959000;637959000
936365;ADVANCED MICRO DEVICES;US0079031078;;AMAZON.COM - OPERATING INCOME;1406000;1406000;1406000;1406000;862000;862000;862000;862000;676000;676000;676000;676000;691000;691000;691000;691000;130000;130000;130000;130000;2176000;2176000;2176000;2176000;4066000;4066000;4066000;4066000;3954000;3954000;3954000;3954000;12242000;12242000;12242000;12242000;14177000;14177000;14177000;14177000;33815000;33815000;33815000;33815000;24429000;24429000;24429000;24429000;12907000;12907000;12907000;12907000;36913000;36913000;36913000;36913000;68518000;68518000;68518000;68518000
749382;ADOBE (NAS);US00724F1012;;AMAZON.COM - NET INC BEFORE EXTRA/PFD DIVS;1152000;1152000;1152000;1152000;631000;631000;631000;631000;-39000;-39000;-39000;-39000;274000;274000;274000;274000;-241000;-241000;-241000;-241000;596000;596000;596000;596000;2371000;2371000;2371000;2371000;2244000;2244000;2244000;2244000;9916000;9916000;9916000;9916000;11588000;11588000;11588000;11588000;21331000;21331000;21331000;21331000;33364000;33364000;33364000;33364000;-2722000;-2722000;-2722000;-2722000;30425000;30425000;30425000;30425000;59248000;59248000;59248000;59248000
891631;ALEXANDRIA REAL ESTATE EQUITIES REIT;US0152711091;;AMAZON.COM - TOTAL ASSETS;18775000;18775000;18775000;18775000;25250000;25250000;25250000;25250000;32432000;32432000;32432000;32432000;40159000;40159000;40159000;40159000;54505000;54505000;54505000;54505000;65444000;65444000;65444000;65444000;83402000;83402000;83402000;83402000;131310000;131310000;131310000;131310000;162648000;162648000;162648000;162648000;225248000;225248000;225248000;225248000;321195000;321195000;321195000;321195000;420549000;420549000;420549000;420549000;455162000;455162000;455162000;455162000;514657000;514657000;514657000;514657000;611697000;611697000;611697000;611697000
905271;AIR PRDS.& CHEMS.;US0091581068;;AMAZON.COM - TOTAL LIABILITIES;11911000;11911000;11911000;11911000;17493000;17493000;17493000;17493000;24240000;24240000;24240000;24240000;30413000;30413000;30413000;30413000;43764000;43764000;43764000;43764000;52060000;52060000;52060000;52060000;64117000;64117000;64117000;64117000;103601000;103601000;103601000;103601000;119099000;119099000;119099000;119099000;163188000;163188000;163188000;163188000;227791000;227791000;227791000;227791000;282304000;282304000;282304000;282304000;309119000;309119000;309119000;309119000;312782000;312782000;312782000;312782000;325727000;325727000;325727000;325727000
894371;BXP;US1011211018;;AMAZON.COM - COMMON SHAREHOLDERS' EQUITY;6864000;6864000;6864000;6864000;7757000;7757000;7757000;7757000;8192000;8192000;8192000;8192000;9746000;9746000;9746000;9746000;10741000;10741000;10741000;10741000;13384000;13384000;13384000;13384000;19285000;19285000;19285000;19285000;27709000;27709000;27709000;27709000;43549000;43549000;43549000;43549000;62060000;62060000;62060000;62060000;93404000;93404000;93404000;93404000;138245000;138245000;138245000;138245000;146043000;146043000;146043000;146043000;201875000;201875000;201875000;201875000;285970000;285970000;285970000;285970000
322677;ALLSTATE ORD SHS;US0200021014;;AMAZON.COM - CASH;613000;613000;613000;613000;1207000;1207000;1207000;1207000;2595000;2595000;2595000;2595000;8658000;8658000;8658000;8658000;14557000;14557000;14557000;14557000;15890000;15890000;15890000;15890000;19334000;19334000;19334000;19334000;20522000;20522000;20522000;20522000;31750000;31750000;31750000;31750000;36368000;36368000;36368000;36368000;42355000;42355000;42355000;42355000;36462000;36462000;36462000;36462000;54246000;54246000;54246000;54246000;73884000;73884000;73884000;73884000;79026000;79026000;79026000;79026000
